Bead    Atoms                       Adj
TC3     63,64,65,66,67,68,69        1
TC3     57,58,59,60,61,62           0,2
TC3     51,52,53,54,55,56           1,3
TC3     45,46,47,48,49,50           2,4
TN2a    4,39,40,41,42,43,44         3,5
TC5     32,33,34                    4,6,7
TC5     35,36,37,38                 5,7
TC5     29,30,31                    5,6,8
N4a     2,3,28                      7,9
TC5     23,24,25                    8,10,11
TC5     19,20,21,22                 9,11
TC5     18,26,27                    9,10,12
SN6d    5,11,12,13,14,15,16,17,70   11,13
SN4a    1,6,7,8,9,10                12
