Bead    Atoms                       Adj
TC3     1,2,28,29,30,31,32          1
TC3     3,4,33,34,35,36             0,2
TC3     5,6,37,38,39,40             1,3
SN3a    7,8,9,41,42,43,44           2,4
TC5     10,15,48                    3,5,6
TC5     11,12,45,46                 4,6
TC5     13,14,47                    4,5,7
TN6a    16,17,49                    6,8
TC5     18,19,50                    7,9,10
TC5     22,23,52,53                 8,10
TC5     20,21,51                    8,9,11
TC3     24,25,54,55,56,57           10,12
TC3     26,27,58,59,60,61,62        11
