Bead    Atoms                       Adj
TN6a    3,4                         1,3
TC3     9,10,11,12                  0,2,5
TC3     25,26,27,28,29,30,31,32     1
TC3     13,14,15,16                 0,4,5
TC3     17,18,19,20,21,22,23,24     3
N4a     1,2,6,7,8                   1,3,6
TC5     33,34,35                    5,7,8
TC5     39,40,41,42                 6,8
TC5     36,37,38                    6,7,9
TC5     43,51,52                    8,10,11
TC5     48,49,50                    9,11,12
TC5     44,45,46,47                 9,10
TN4a    5,53                        10
