Bead    Atoms                               Adj
TN6a    3,4                                 1,3
TC3     47,48,49,50                         0,2,5   
TC3     51,52,53,54,55,56,57,58             1
TC3     59,60,61,62                         0,4,5
TC3     63,64,65,66,67,68,69,70             3
N4a     1,2,44,45,46                        1,3,6
TC5     7,8,9                               5,7,8
TC5     5,6,14                              6,8,9
TC5     10,11,12,13                         6,7
TC5     15,16,17                            7,10,11
TC5     18,19,20                            9,11,12
TC5     21,22,23,24                         9,10
TC3     25,26,27,28,29,30                   10,13
TC3     31,32,33,34,35,36                   12,14
TC3     37,38,39,40,41,42,43                13
