Bead	Atoms   Adj
TN6a	13,14   3,4
TC3	33,34,35,36,37,38,39,40 3
TC3	25,26,27,28,29,30,31,32 4
TC3	21,22,23,24 0,1,5
TC3	17,18,19,20 0,2,5
TN1	3,15,16     3,4,6,7
TN6a	1,4     5,8
TN6a	2,5     5,10
TC5	8,9,10      6,12,9
TC5	11,12,46    8,12,13
TC5	6,51,52     7,12,11
TC5	48,49,50    10,12,14
TC5e	7,47    8,9,10,11
TN6a	42,45   9,15
TN6a	41,44   11,15
TN1	43,55,56    13,14,16,18
TC3	57,58,59,60 15,17,20
TC3	65,66,67,68,69,70,71,72 15	
TC3	61,62,63,64 15,19,20
TC3	73,74,75,76,77,78,79,80 18
TN6a	53,54   16,18
